Номер ф-ции; Точка минимума; Знач ф-ции; Кол-во точек; Ист.знач.минимума; Ист.знач.ф-ции; Погрешность по x;Погрешность по f 
121;4.8085;-1.5388;48;4.81;-1.53881;0.00150369;8.86955e-06
122;1.68635;-1.93965;38;1.685;-1.9397;0.00135115;4.83988e-05
123;1.74673;-2.03657;26;1.744;-2.03667;0.00273312;9.69909e-05
124;4.49264;-1.50126;40;4.491;-1.50128;0.00163957;2.46798e-05
125;1.54244;-1.58727;32;9.654;-2.50822;8.11156;0.920954
126;6.29314;-1.08435;58;8.923;-3.34054;2.62986;2.25619
127;2.72695;-2.90796;26;2.731;-2.90839;0.00404779;0.000429231
128;2.77061;-2.01481;28;2.765;-2.01562;0.00561149;0.000812014
129;4.18084;-2.33777;26;4.181;-2.33777;0.000163619;1.351e-07
130;0.67301;-2.6874;25;0.675;-2.68749;0.00199034;8.71037e-05
131;5.29238;-1.9259;33;5.296;-1.92603;0.00361932;0.00012593
132;1.6458;-1.94546;32;1.649;-1.94562;0.00320115;0.000157291
133;2.51143;-1.90193;40;2.512;-1.90193;0.000573019;1.94514e-06
134;6.95009;-1.75438;28;8.651;-1.87021;1.70091;0.115835
135;7;-1.50114;36;8.442;-2.11983;1.442;0.618688
136;4.59693;-2.60903;27;4.601;-2.60931;0.00406559;0.000277577
137;3.59201;-1.58228;40;3.597;-1.58258;0.00498764;0.000298059
138;1.74256;-2.81029;30;1.744;-2.81033;0.00144387;4.17093e-05
139;1.27525;-1.53866;50;1.268;-1.53909;0.00725215;0.000433863
140;4.47859;-2.40452;35;4.482;-2.40499;0.0034082;0.000465553
141;3.09512;-1.84676;38;3.092;-1.84686;0.00312459;0.000101972
142;3.92976;-2.54124;25;3.932;-2.54132;0.00224324;7.90395e-05
143;0.401088;-2.57126;28;0.396;-2.5717;0.0050879;0.000437042
144;1.87738;-2.14473;28;1.877;-2.14472;0.000377706;5.93833e-06
145;4.40147;-2.38378;23;4.398;-2.38396;0.0034708;0.000178555
146;7;-1.25148;55;9.646;-3.27538;2.646;2.0239
147;6.50781;-2.03665;30;6.508;-2.03665;0.00018721;7.49695e-08
148;4.4619;-1.54245;36;8.305;-2.51363;3.8431;0.971184
149;0.779617;-1.90271;26;8.099;-2.25009;7.31938;0.347382
150;5.90065;-2.39408;30;5.9;-2.39408;0.00064809;2.34026e-06
151;7;-2.11018;22;7.153;-2.50041;0.153;0.39023
152;4.28805;-2.55882;26;4.287;-2.55885;0.00104983;2.82602e-05
153;6.79455;-1.61727;40;8.193;-1.86733;1.39845;0.25006
154;4.45375;-1.51954;40;9.008;-1.70799;4.55425;0.188454
155;4.80528;-1.82822;26;8.145;-2.56582;3.33972;0.737598
156;6.33762;-2.01901;34;6.339;-2.01905;0.00137518;4.28034e-05
157;3.21841;-2.11355;40;3.216;-2.11371;0.00241377;0.000158535
158;2.83795;-2.57778;24;8.009;-2.75254;5.17105;0.174757
159;2.51511;-2.02187;53;2.518;-2.02191;0.00289159;3.62672e-05
160;0.507819;-2.49024;40;0.511;-2.49033;0.00318133;9.05678e-05
161;2.06715;-2.76655;24;2.069;-2.76661;0.00184586;5.72468e-05
162;5.93939;-1.9227;40;5.941;-1.92271;0.00161219;1.28961e-05
163;2.00239;-2.22028;22;2.007;-2.22059;0.00461418;0.000309284
164;3.55211;-1.7941;28;3.554;-1.79417;0.00188821;7.20502e-05
165;5.96942;-1.21364;60;8.814;-2.09584;2.84458;0.882197
166;1.94238;-1.91234;42;8.193;-1.97072;6.25062;0.0583785
167;5.24475;-1.6322;32;9.764;-1.92336;4.51925;0.291161
168;5.35713;-1.53993;39;5.362;-1.54017;0.00487252;0.000239052
169;6.733;-2.64765;26;6.731;-2.64772;0.00199914;7.27272e-05
170;4.48238;-1.74338;54;7.812;-4.59169;3.32962;2.84831
171;5.41636;-1.93784;30;5.412;-1.93809;0.00436447;0.000253117
172;6.36677;-1.8649;27;6.365;-1.86498;0.00176974;8.40921e-05
173;3.93482;-3.62863;24;3.939;-3.62881;0.0041812;0.000184196
174;4.64629;-1.89253;32;4.651;-1.89289;0.0047102;0.000362261
175;0.714264;-1.60802;36;8.786;-1.82643;8.07174;0.218408
176;4.38678;-2.34627;30;4.388;-2.3463;0.00121705;3.38237e-05
177;7;-2.97342;19;7.153;-3.31142;0.153;0.338001
178;7;-1.89306;24;7.064;-1.94107;0.064;0.0480131
179;4.55529;-2.51134;26;8.933;-2.52511;4.37771;0.0137674
180;6.31325;-2.37031;24;6.312;-2.37037;0.00124926;5.56017e-05
181;3.38679;-1.98167;30;3.388;-1.98174;0.00120609;7.41651e-05
182;4.72876;-2.15669;38;4.724;-2.15705;0.00475898;0.000360453
183;3.37505;-2.23834;36;3.377;-2.23845;0.00195405;0.000106805
184;0.374433;-2.03428;26;0.372;-2.03436;0.00243268;8.31141e-05
