Номер ф-ции; Точка минимума; Знач ф-ции; Кол-во точек; Ист.знач.минимума; Ист.знач.ф-ции; Погрешность по x;Погрешность по f 
741;2.27555;-1.63435;28;8.187;-1.72947;5.91145;0.0951202
742;5.37253;-2.79693;28;5.372;-2.79694;0.000530046;1.48282e-05
743;7;-2.05344;22;7.026;-2.06828;0.026;0.0148369
744;1.54723;-1.98254;28;8.4;-2.36488;6.85277;0.38234
745;4.42654;-1.97314;36;4.42;-1.97373;0.00654122;0.000586581
746;4.20585;-1.94969;26;4.207;-1.94968;0.00114937;5.11591e-06
747;0.403147;-1.90593;33;0.406;-1.90613;0.00285291;0.000198723
748;6.39687;-1.0737;56;8.534;-2.73043;2.13713;1.65673
749;3.65911;-1.53238;30;3.668;-1.5337;0.00889435;0.00132258
750;2.93604;-2.21881;30;2.936;-2.21881;3.84035e-05;4.7717e-06
751;5.01973;-2.01905;30;5.017;-2.01927;0.00272528;0.0002202
752;7;-1.83444;22;7.007;-1.83526;0.007;0.000822906
753;5.49534;-2.36457;25;5.499;-2.36481;0.00365842;0.000236039
754;6.96524;-2.49867;38;6.966;-2.49867;0.000758421;4.47853e-06
755;6.42996;-1.79157;42;8.812;-1.97913;2.38204;0.18756
756;4.43884;-2.24773;30;4.436;-2.24789;0.00284016;0.000164713
757;0.407407;-2.73305;23;0.411;-2.7333;0.00359257;0.000251922
758;5.44296;-2.4325;26;5.437;-2.433;0.00595702;0.000497692
759;6.55237;-1.16421;52;8.533;-2.82366;1.98063;1.65945
760;3.50135;-1.9885;28;8.93;-2.32915;5.42865;0.340653
761;5.64549;-1.58587;58;9.511;-1.87868;3.86551;0.292813
762;2.88956;-2.06953;33;2.886;-2.06964;0.0035632;0.000113936
763;1.65552;-2.30517;25;1.656;-2.30518;0.000480974;9.42313e-06
764;0.711709;-2.71134;30;0.715;-2.71147;0.00329069;0.0001292
765;0.870161;-1.88503;40;0.87;-1.88503;0.000161191;1.5901e-07
766;1.08637;-2.41425;23;1.084;-2.41429;0.00237195;3.72539e-05
767;0.714303;-3.41487;29;0.718;-3.4156;0.00369736;0.000731834
768;7;-1.63748;32;7.455;-2.44974;0.455;0.812265
769;3.80407;-1.91892;36;3.8;-1.91914;0.00406751;0.000216588
770;4.11486;-2.46858;28;8.966;-2.67845;4.85114;0.20987
771;1.33435;-2.40661;22;1.333;-2.40665;0.00135441;3.52013e-05
772;1.64588;-1.79985;39;9.21;-2.0627;7.56412;0.262846
773;3.25278;-3.16586;26;3.256;-3.16594;0.0032214;7.52788e-05
774;6.33783;-1.75108;31;7.212;-1.92147;0.874167;0.170391
775;6.34192;-1.97007;32;6.342;-1.97007;7.94222e-05;4.52047e-06
776;5.60255;-1.75033;42;5.599;-1.75041;0.00355299;7.64084e-05
777;1.02009;-2.79812;24;1.028;-2.7993;0.00791056;0.00118322
778;4.02147;-1.59225;74;9.817;-1.96586;5.79553;0.373606
779;2.004;-1.50541;44;2.003;-1.50542;0.00100088;7.29129e-06
780;1.09137;-1.84102;32;1.098;-1.84174;0.00662832;0.000722705
781;6.67604;-2.63089;22;6.678;-2.63092;0.00196199;2.91373e-05
782;1.82814;-1.3954;68;9.526;-2.69337;7.69786;1.29797
783;6.5031;-1.85665;27;9.366;-1.85884;2.8629;0.00218838
784;0.317777;-2.25537;38;0.319;-2.25536;0.001223;7.7755e-06
785;5.50477;-2.59591;34;5.506;-2.59592;0.00123191;1.00988e-05
786;6.0996;-2.02421;30;6.096;-2.0245;0.00360384;0.000287037
787;0.930415;-1.88338;35;0.926;-1.88372;0.00441475;0.000341874
788;5.28975;-3.25797;36;5.285;-3.2582;0.00475469;0.000229755
789;2.13738;-1.65947;28;2.141;-1.6596;0.00361982;0.000129431
790;2.24794;-2.57611;27;2.245;-2.57629;0.00294123;0.000178331
791;3.78539;-2.41755;32;3.781;-2.41772;0.00438946;0.000169725
792;5.36303;-2.87181;26;5.36;-2.87213;0.00303114;0.000317391
793;4.37235;-2.1496;30;4.37;-2.14968;0.00235081;7.77291e-05
794;6.4768;-1.91268;30;6.477;-1.91269;0.000196167;5.06183e-06
795;1.08745;-1.77037;37;1.084;-1.77061;0.00344722;0.000240761
796;1.26372;-2.17733;34;1.266;-2.17741;0.00227615;8.20791e-05
797;5.34301;-1.88541;28;5.343;-1.88541;1.11852e-05;3.1511e-06
798;6.31373;-1.31875;60;7.537;-1.89155;1.22327;0.572796
799;2.44155;-1.71641;35;2.442;-1.71642;0.000450835;1.11106e-05
800;5.85006;-1.32765;54;7.913;-1.75462;2.06294;0.426967
801;6.10694;-1.73769;26;9.193;-1.79322;3.08606;0.0555321
802;7;-2.97314;15;7.061;-3.02446;0.061;0.0513154
803;5.78337;-2.50266;24;5.791;-2.503;0.00763426;0.000343238
804;2.40228;-2.64541;26;2.397;-2.64602;0.00528257;0.000607125
805;4.87498;-1.62048;34;8.524;-2.27108;3.64902;0.650603
806;5.83738;-2.42209;25;5.837;-2.42209;0.000380495;2.89443e-06
807;1.61045;-1.7427;28;1.602;-1.74396;0.0084518;0.00125531
808;2.57605;-1.87488;36;2.58;-1.87498;0.00394957;0.000100504
809;4.89762;-1.92107;46;9.32;-3.14391;4.42238;1.22284
810;2.07472;-1.98207;30;2.075;-1.98207;0.000283508;8.70003e-07
811;3.60772;-2.6075;22;3.603;-2.60801;0.00472328;0.000505621
812;6.6676;-1.40548;54;9.547;-1.51046;2.8794;0.104981
813;0.590113;-2.739;24;0.591;-2.739;0.000887482;2.9668e-07
814;7;-2.10143;23;7.3;-3.05214;0.3;0.950707
815;0.119875;-1.87444;26;8.898;-2.12861;8.77812;0.254168
816;0.614635;-2.26359;36;0.614;-2.26359;0.000635076;1.99837e-06
817;2.60181;-2.66751;28;2.605;-2.66765;0.00319426;0.000138957
818;3.30072;-1.89376;27;3.298;-1.8939;0.00271966;0.000140587
819;2.39557;-1.83693;36;2.393;-1.83701;0.00257423;7.54447e-05
820;6.02243;-2.28366;25;6.022;-2.28368;0.000430964;1.54559e-05
821;1.86774;-2.05315;31;1.869;-2.05318;0.00125967;2.76412e-05
822;5.18604;-1.20602;66;8.118;-3.37204;2.93196;2.16602
823;2.49822;-1.74118;28;9.219;-1.86236;6.72078;0.121178
824;1.17033;-2.06028;34;1.169;-2.06032;0.00132636;4.11327e-05
825;4.67798;-2.61916;27;4.674;-2.61974;0.00397821;0.000576854
826;2.07917;-2.9939;25;2.083;-2.99417;0.00383237;0.000268286
827;0.369957;-1.92739;30;9.859;-2.43121;9.48904;0.503824
828;0.585484;-2.29505;38;0.587;-2.29507;0.00151581;1.72082e-05
829;5.25313;-2.0756;26;5.25;-2.07583;0.00313192;0.000233093
830;4.01522;-1.81706;30;8.814;-1.93486;4.79878;0.117798
831;4.47366;-1.9999;38;4.473;-1.9999;0.000658356;4.34875e-06
832;5.82731;-1.76733;50;9.562;-1.91359;3.73469;0.146262
833;3.75838;-1.68689;38;9.523;-1.87119;5.76462;0.184304
834;2.56348;-1.71906;40;9.897;-1.80428;7.33352;0.0852207
835;2.00851;-2.0622;27;2.008;-2.0622;0.000511102;8.38349e-08
836;4.74273;-1.96159;30;4.742;-1.96158;0.000734068;1.10399e-05
837;1.46408;-2.03688;38;1.46;-2.03717;0.00408169;0.000293266
838;3.20935;-2.124;26;8.178;-2.32264;4.96865;0.198644
839;5.73048;-1.52684;44;5.73;-1.52684;0.000477351;3.79685e-06
840;6.63666;-2.07937;32;7.683;-2.65383;1.04634;0.574462
841;3.21821;-2.75316;28;3.22;-2.75321;0.00178969;5.35698e-05
842;6.77265;-1.54696;36;9.697;-1.70295;2.92435;0.155995
843;0.411133;-1.52658;38;0.414;-1.52666;0.00286729;7.93296e-05
844;2.98812;-2.96009;26;2.997;-2.96123;0.00887644;0.00114138
845;2.73458;-2.23177;32;2.741;-2.23213;0.00642345;0.000360785
846;0.364519;-1.83967;27;0.364;-1.83966;0.000518965;1.12038e-05
847;4.69379;-1.76302;34;4.693;-1.76303;0.000789342;1.14298e-05
848;2.70038;-2.11722;28;2.701;-2.11724;0.000620929;2.27044e-05
849;0.599809;-1.82438;24;0.599;-1.82438;0.000808721;3.8266e-06
850;5.60637;-2.69645;23;5.608;-2.69651;0.00163163;6.34778e-05
851;5.68369;-2.60302;32;5.678;-2.60319;0.00569077;0.000171611
852;2.66691;-2.89608;23;2.671;-2.8966;0.0040901;0.000521329
853;5.14522;-2.11765;38;5.144;-2.11766;0.00122256;1.38175e-05
854;3.04275;-2.93821;26;3.039;-2.93871;0.00375247;0.000503037
855;6.35766;-2.13201;24;6.356;-2.13206;0.00165958;4.61679e-05
856;1.58181;-2.53186;27;1.586;-2.53205;0.00418719;0.000189441
857;6.14168;-2.50928;34;6.145;-2.50935;0.00332058;6.59778e-05
858;6.77415;-1.87381;40;8.244;-2.20017;1.46985;0.32636
859;3.68285;-1.69416;34;3.679;-1.69441;0.0038542;0.000253172
860;4.63484;-2.07271;38;4.634;-2.07271;0.0008385;2.66058e-06
861;1.3951;-1.8477;30;7.172;-2.11862;5.7769;0.270921
862;3.16034;-1.88628;39;3.161;-1.88629;0.000656833;1.45329e-05
863;1.4313;-2.18404;36;1.428;-2.18422;0.00329656;0.000183949
864;4.18373;-1.55152;52;8.181;-3.42514;3.99727;1.87362
865;7;-2.513;19;7.13;-2.73171;0.13;0.218713
866;5.81589;-1.76663;24;7.705;-1.91335;1.88911;0.146719
867;6.19688;-2.2226;26;6.2;-2.22286;0.00311747;0.00026353
868;3.87185;-2.03744;36;3.872;-2.03745;0.000153988;8.58186e-06
869;6.70382;-2.72724;26;6.7;-2.72754;0.00382285;0.000299916
870;6.72951;-1.04648;48;9.217;-1.92001;2.48749;0.873528
871;6.33065;-1.21885;32;9.018;-2.22573;2.68735;1.00688
872;1.10972;-1.97303;30;1.111;-1.97307;0.00128223;4.3654e-05
873;4.42022;-2.07192;26;4.42;-2.07192;0.000217619;2.77964e-06
874;0.915801;-2.12068;35;0.914;-2.12073;0.00180089;4.8327e-05
875;0.737265;-2.31752;28;0.734;-2.31786;0.00326519;0.000335957
876;6.27739;-1.98772;31;6.275;-1.98781;0.0023868;8.60432e-05
877;3.69487;-1.86387;28;3.699;-1.8641;0.00413281;0.00022602
878;4.78861;-1.9273;33;7.697;-2.157;2.90839;0.229698
879;3.88254;-2.55064;27;3.884;-2.55068;0.00146023;4.0179e-05
880;6.25638;-2.14419;30;6.26;-2.1444;0.00361543;0.000210127
881;1.30636;-2.32847;30;1.303;-2.32853;0.0033608;6.32154e-05
882;6.77426;-1.82507;30;7.479;-2.02407;0.704738;0.199
883;1.94368;-1.89891;30;9.606;-1.91454;7.66232;0.0156312
884;1.21785;-2.29994;26;8.753;-2.33067;7.53515;0.0307295
885;1.64647;-1.65915;58;1.643;-1.65918;0.0034742;3.17198e-05
886;4.01035;-2.55025;28;4.014;-2.55045;0.00365333;0.000200288
887;5.78789;-2.03013;28;5.789;-2.03015;0.00111357;2.24009e-05
888;3.33409;-2.51263;30;3.338;-2.5128;0.00390774;0.000165048
889;3.68412;-1.42167;64;9.155;-1.93814;5.47088;0.51647
890;1.62551;-1.78957;44;7.595;-2.46857;5.96949;0.678999
891;2.40496;-1.77024;30;2.408;-1.77029;0.00303919;4.99919e-05
892;5.39155;-2.07913;26;5.391;-2.07914;0.000546499;5.88023e-06
893;1.78385;-2.99131;30;1.781;-2.99147;0.00284727;0.000163749
894;5.17442;-1.97433;33;5.174;-1.97433;0.000423301;4.3902e-06
895;1.85368;-3.94992;24;1.851;-3.95021;0.00268473;0.000287818
896;0.660332;-1.8909;26;8.257;-2.41329;7.59667;0.522389
897;2.4608;-2.02739;27;2.464;-2.02764;0.00319878;0.000248
898;7;-1.84336;22;7.362;-2.0677;0.362;0.22434
899;3.85759;-1.25877;58;9.413;-1.7416;5.55541;0.482832
900;0.364103;-1.738;41;0.368;-1.73831;0.00389746;0.000309424
901;5.8043;-2.11607;26;5.803;-2.11613;0.00130023;6.23766e-05
902;5.70488;-2.4232;27;5.707;-2.42327;0.00212292;6.76479e-05
903;4.86991;-1.77369;34;4.873;-1.77383;0.00309254;0.000143079
904;3.11076;-1.75398;44;3.112;-1.754;0.0012353;2.4433e-05
905;6.18156;-1.99256;30;6.18;-1.9926;0.00156399;3.99056e-05
906;5.60785;-2.07684;24;8.243;-2.21458;2.63515;0.137736
907;5.88027;-3.3128;26;5.888;-3.31469;0.00773053;0.00188683
908;6.10385;-2.0457;44;6.098;-2.04581;0.00584613;0.000108305
909;6.66143;-1.34276;44;7.56;-1.88466;0.898569;0.541898
910;6.79663;-2.21395;30;7.278;-2.41434;0.481365;0.200394
911;5.59376;-2.83983;22;5.594;-2.83983;0.000242758;4.90273e-06
912;2.06994;-1.21577;41;9.325;-1.33276;7.25506;0.116993
913;3.9636;-1.71952;36;7.768;-2.80585;3.8044;1.08633
914;3.96062;-3.27566;26;3.961;-3.27565;0.000382409;7.9943e-06
915;3.33299;-2.19093;30;3.329;-2.19136;0.00399441;0.00043097
916;2.39694;-2.05755;28;2.395;-2.05765;0.0019432;0.000101653
917;5.76889;-1.98868;28;5.771;-1.98881;0.00210649;0.000126329
918;0.55294;-1.81074;27;0.553;-1.81074;6.00185e-05;1.12179e-06
919;7;-2.04785;24;7.023;-2.05204;0.023;0.0041856
920;1.99543;-2.62794;29;1.992;-2.62812;0.00343102;0.000182461
921;6.79588;-2.16973;28;6.795;-2.16974;0.000881031;6.66089e-06
922;6.75486;-1.87196;36;6.758;-1.87204;0.0031358;7.63935e-05
923;4.60682;-1.78004;32;4.605;-1.78011;0.00182079;6.74208e-05
924;5.73992;-2.65693;30;5.738;-2.65708;0.00191743;0.000146543
925;4.39595;-1.31254;52;9.317;-2.22929;4.92105;0.916754
926;5.50807;-1.96241;38;5.506;-1.96245;0.00206708;4.10921e-05
927;5.87058;-2.84362;26;5.876;-2.84457;0.00542069;0.000952077
928;4.79351;-2.23435;42;4.795;-2.23438;0.00148974;2.76863e-05
929;2.08233;-1.64791;30;2.082;-1.64793;0.000325473;1.54203e-05
930;4.42387;-2.55861;32;4.427;-2.55884;0.00313248;0.000233995
931;2.00906;-2.2531;28;2.007;-2.25316;0.00206124;5.55953e-05
932;6.07842;-1.85902;35;9.144;-2.44413;3.06558;0.585113
933;7;-2.01512;21;7.034;-2.03179;0.034;0.0166713
934;6.47572;-1.47571;50;9.524;-1.47668;3.04828;0.000973386
935;5.63966;-1.95791;34;5.638;-1.95794;0.00166179;2.54638e-05
936;0.956696;-1.20526;37;8.194;-3.12804;7.2373;1.92278
937;1.43117;-2.33294;29;1.43;-2.33296;0.00117146;1.51017e-05
938;0.286682;-3.40559;26;0.289;-3.40574;0.00231813;0.000153957
939;1.81877;-2.04051;29;1.817;-2.04054;0.00177129;3.09573e-05
940;2.68162;-1.50175;48;7.884;-2.00376;5.20238;0.502015
941;4.65665;-1.54007;46;7.488;-1.86414;2.83135;0.32407
942;5.11973;-2.07826;30;5.118;-2.07828;0.00173419;2.3235e-05
943;3.51228;-2.6572;28;3.514;-2.65722;0.00171646;2.31845e-05
944;5.40313;-2.21156;28;5.405;-2.21158;0.00187497;2.00578e-05
945;1.22251;-1.8357;32;8.062;-1.92854;6.83949;0.092839
946;0.912435;-2.49621;30;0.913;-2.49622;0.000565225;7.55373e-06
947;5.73214;-1.90044;27;7.484;-1.9942;1.75186;0.0937606
948;1.03676;-2.07168;29;8.879;-2.11375;7.84224;0.04207
949;6.27544;-2.26968;36;6.273;-2.26968;0.00244495;1.80507e-06
950;2.52529;-2.32765;26;7.653;-2.56652;5.12771;0.238869
951;5.49586;-2.63316;24;5.496;-2.63316;0.000139019;9.05745e-08
952;5.35827;-2.75914;26;5.356;-2.75926;0.00227239;0.000119938
953;3.00428;-2.26167;23;3;-2.26185;0.00428417;0.000179803
954;2.13069;-2.12775;34;2.129;-2.12783;0.00169104;8.09453e-05
955;7;-1.87945;28;7.051;-1.90137;0.051;0.0219223
956;4.16587;-2.01109;32;4.162;-2.01122;0.00386721;0.000129666
957;6.37767;-3.29898;27;6.38;-3.29922;0.00233136;0.000244725
958;1.62419;-2.06185;36;1.622;-2.0619;0.00219429;4.93318e-05
959;3.76633;-1.61678;52;7.613;-1.87728;3.84667;0.2605
960;4.03485;-1.51046;42;8.324;-1.8496;4.28915;0.339136
961;1.52235;-2.23303;31;1.524;-2.23304;0.00164604;6.46676e-06
962;4.32695;-1.88859;40;4.324;-1.88868;0.00295379;9.39924e-05
963;5.37797;-1.03267;74;9.774;-2.46266;4.39603;1.42999
964;3.18726;-2.8634;26;3.189;-2.86344;0.00174445;4.3546e-05
965;1.0426;-1.30133;38;1.043;-1.30134;0.000401461;9.6794e-06
966;4.00277;-2.35785;31;3.999;-2.35839;0.00377044;0.00054452
967;3.47185;-2.55605;27;3.47;-2.55609;0.00184735;4.25438e-05
968;5.2887;-1.86516;32;9.407;-2.02824;4.1183;0.163075
969;3.15146;-1.68585;36;3.151;-1.68585;0.000458365;2.72523e-07
970;3.08072;-1.77082;28;9.424;-1.78267;6.34328;0.0118538
971;0.509872;-1.51866;46;9.217;-2.11491;8.70713;0.596251
972;2.62962;-2.05664;30;2.633;-2.0569;0.00337578;0.00025838
973;4.88412;-2.85282;26;4.884;-2.85281;0.000117658;1.0383e-05
974;5.00292;-1.71399;48;7.213;-1.90482;2.21008;0.19083
975;5.38096;-3.01448;24;5.386;-3.01491;0.00504304;0.000428186
976;1.80559;-1.84301;26;1.805;-1.843;0.000586469;9.44779e-06
977;6.17736;-1.97273;31;8.487;-2.19441;2.30964;0.221678
978;3.33358;-2.49642;26;3.331;-2.49659;0.00258202;0.000169707
979;4.33639;-1.81853;30;4.336;-1.81854;0.000386406;1.08524e-05
980;6.23683;-1.77801;38;8.633;-1.83976;2.39617;0.0617473
981;4.88063;-2.37828;26;4.884;-2.37846;0.00336795;0.000177854
982;1.04899;-1.79445;26;8.44;-2.57864;7.39101;0.784193
983;4.69693;-1.35749;54;7.848;-1.92797;3.15107;0.570484
984;5.77824;-2.58106;38;5.778;-2.58106;0.000240497;1.50212e-06
985;0.268228;-2.1208;29;0.268;-2.1208;0.000228151;3.1435e-06
986;5.24278;-2.13852;26;5.238;-2.1387;0.00477998;0.00018362
987;1.18846;-2.0397;28;1.188;-2.0397;0.000464345;1.66058e-06
988;2.68558;-1.82022;34;8.286;-2.04397;5.60042;0.223749
989;3.43086;-2.38927;34;3.428;-2.38938;0.00286159;0.000110464
990;6.21787;-3.22479;22;6.219;-3.22484;0.00113016;5.17624e-05
991;3.75044;-1.49917;52;3.751;-1.49918;0.000562699;6.42828e-06
992;5.96275;-1.97105;36;5.965;-1.97107;0.002254;1.93639e-05
993;2.93995;-1.50525;44;2.945;-1.50562;0.00504596;0.000371195
994;0.201873;-2.41072;26;0.204;-2.41085;0.00212734;0.000131678
995;6.52621;-2.20529;29;6.527;-2.20529;0.000788533;2.22807e-06
996;2.29281;-1.77124;35;9.147;-2.01933;6.85419;0.248088
997;3.03116;-1.98389;24;9.684;-2.05173;6.65284;0.06784
998;6.58489;-2.39515;31;6.586;-2.39518;0.00111234;2.61918e-05
